state,x,y
Andhra Pradesh,-76.0,-146.0
Arunachal Pradesh,242.0,165.0
Assam,202.0,120.0
Bihar,60.0,95.0
Chhattisgarh,17.0,22.0
Goa,-174.0,-139.0
Gujarat,-215.0,36.0
Haryana,-120.0,169.0
Himachal Pradesh,-110.0,227.0
Jharkhand,53.0,46.0
Karnataka,-136.0,-174.0
Kerala,-129.0,-237.0
Madhya Pradesh,-88.0,24.0
Maharashtra,-160.0,-53.0
Manipur,237.0,77.0
Meghalaya,179.0,95.0
Mizoram,211.0,48.0
Nagaland,243.0,111.0
Odisha,52.0,-25.0
Punjab,-145.0,207.0
Rajasthan,-185.0,104.0
Sikkim,118.0,132.0
Tamil Nadu,-87.0,-227.0
Telangana,-122.0,-125.0
Uttar Pradesh,-62.0,180.0
Uttarakhand,-101.0,286.0
West Bengal,160.0,55.0
